Options:
Model:                           MultiState
Tree File Name:                  brady.rooted.nexus
Data File Name:                  brady.trait
Log File Name:                   brady.trait.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2846103684
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      100000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   brady.trait.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               F,M,V,f
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	TagBrady	2	Bradyrhizobium_oligotrophicum_S58 Bradyrhizobium_elkanii_USDA_3259 
	Tag_Brady_Outgroup	2	Tardiphaga_robiniae_Vaf-07 Bradyrhizobium_elkanii_USDA_3259 
	Tag_Outgroup	2	Tardiphaga_robiniae_Vaf-07 Rhodopseudomonas_palustris_BisB18 
	Tag_Rhodo	2	Rhodopseudomonas_palustris_BisB18 Rhodopseudomonas_palustris_HaA2 
	Tag_Rhodo1	2	Rhodopseudomonas_palustris_HaA2 Rhodopseudomonas_sp_B29 
Restrictions:
    qFM                          None
    qFV                          None
    qFf                          None
    qMF                          None
    qMV                          None
    qMf                          None
    qVF                          None
    qVM                          None
    qVf                          None
    qfF                          None
    qfM                          None
    qfV                          None
Prior Information:
    Prior Categories:            100
    Priors
        qFM - uniform 0.00 100.00 
        qFV - uniform 0.00 100.00 
        qFf - uniform 0.00 100.00 
        qMF - uniform 0.00 100.00 
        qMV - uniform 0.00 100.00 
        qMf - uniform 0.00 100.00 
        qVF - uniform 0.00 100.00 
        qVM - uniform 0.00 100.00 
        qVf - uniform 0.00 100.00 
        qfF - uniform 0.00 100.00 
        qfM - uniform 0.00 100.00 
        qfV - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	MRCA Node-01 TagBrady
	MRCA Node-02 Tag_Brady_Outgroup
	MRCA Node-03 Tag_Outgroup
	MRCA Node-04 Tag_Rhodo
	MRCA Node-05 Tag_Rhodo1
Tree Information
     Trees:                      2
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	qFM	qFV	qFf	qMF	qMV	qMf	qVF	qVM	qVf	qfF	qfM	qfV	Root P(F)	Root P(M)	Root P(V)	Root P(f)	Node-01 P(F)	Node-01 P(M)	Node-01 P(V)	Node-01 P(f)	Node-02 P(F)	Node-02 P(M)	Node-02 P(V)	Node-02 P(f)	Node-03 P(F)	Node-03 P(M)	Node-03 P(V)	Node-03 P(f)	Node-04 P(F)	Node-04 P(M)	Node-04 P(V)	Node-04 P(f)	Node-05 P(F)	Node-05 P(M)	Node-05 P(V)	Node-05 P(f)	
21000	-60.927106	2	4.615468	0.171451	5.845103	17.238997	28.230209	47.833145	3.110949	88.751205	6.767462	1.343795	15.875636	7.692865	0.162210	0.267692	0.273754	0.296344	0.935312	0.039129	0.021554	0.004005	0.568419	0.197619	0.157742	0.076220	0.148574	0.288324	0.270379	0.292723	0.044546	0.275724	0.261965	0.417765	0.012608	0.227872	0.141397	0.618123	
22000	-61.200952	2	8.051242	1.763293	4.398428	8.317206	15.183921	94.660107	12.633823	87.591543	89.440114	2.803487	22.410387	24.338785	0.218229	0.260343	0.259320	0.262108	0.958621	0.014301	0.019436	0.007641	0.652107	0.119667	0.135713	0.092513	0.186103	0.271851	0.273833	0.268214	0.063964	0.309781	0.301479	0.324776	0.016380	0.317286	0.304075	0.362259	
23000	-66.447556	2	4.108015	3.346617	23.993925	13.198314	10.907067	29.209918	85.120676	42.881069	23.035229	6.741692	3.953217	28.276164	0.243223	0.257470	0.248540	0.250768	0.380702	0.157442	0.285593	0.176262	0.292767	0.215273	0.263955	0.228005	0.247643	0.245808	0.246645	0.259903	0.232274	0.250321	0.237792	0.279613	0.156258	0.194942	0.163750	0.485050	
24000	-66.092880	2	0.719298	4.816251	4.388032	71.427202	35.249117	25.231933	10.262486	92.052437	52.523897	3.822082	13.221191	3.141709	0.171994	0.224240	0.262816	0.340949	0.533558	0.272635	0.154202	0.039605	0.263311	0.284054	0.265503	0.187132	0.100051	0.212678	0.281200	0.406071	0.044975	0.146223	0.251621	0.557181	0.009251	0.083129	0.192745	0.714875	
25000	-61.849016	2	1.511038	1.595797	4.577044	12.710139	15.875342	29.802232	4.609105	25.877188	47.881600	5.796710	8.376751	27.103556	0.102897	0.279763	0.308084	0.309256	0.934267	0.037171	0.014341	0.014222	0.478899	0.219349	0.150889	0.150863	0.100017	0.287319	0.301569	0.311095	0.026275	0.266785	0.340337	0.366603	0.006739	0.183586	0.301193	0.508482	
26000	-64.253776	2	0.953898	0.382454	18.467227	23.509124	48.578310	27.036673	0.506579	27.584754	72.541439	11.775942	17.387170	9.267455	0.223894	0.255458	0.262700	0.257947	0.741582	0.116793	0.054070	0.087555	0.445806	0.211943	0.153966	0.188284	0.210857	0.258569	0.267084	0.263490	0.147361	0.265094	0.302756	0.284789	0.064958	0.210554	0.337320	0.387168	
27000	-62.340191	2	5.145784	0.342592	5.759204	18.569413	29.871172	26.928789	6.922032	53.140106	76.244277	7.905685	6.862987	9.110210	0.183718	0.263138	0.274651	0.278493	0.843099	0.080490	0.042931	0.033480	0.415137	0.231417	0.184429	0.169017	0.115826	0.271417	0.296524	0.316234	0.045099	0.253671	0.323724	0.377505	0.010464	0.165556	0.306906	0.517074	
28000	-63.259106	2	6.673755	0.241189	3.422783	17.780207	56.201059	1.591381	7.319396	70.484328	66.390027	7.666911	3.922201	15.183164	0.166371	0.267717	0.279856	0.286056	0.836581	0.083062	0.048154	0.032203	0.363506	0.238817	0.207493	0.190184	0.086797	0.243352	0.301028	0.368823	0.027322	0.201447	0.308265	0.462965	0.004785	0.079320	0.251223	0.664671	
29000	-62.177753	2	5.013257	0.530842	9.084436	11.732212	27.892430	13.976127	32.503796	37.423633	85.197522	7.785794	0.250185	18.834783	0.230211	0.271606	0.251575	0.246607	0.743396	0.086520	0.117421	0.052663	0.396689	0.195906	0.231717	0.175689	0.152726	0.242944	0.280028	0.324301	0.083382	0.231318	0.283791	0.401509	0.023294	0.114157	0.278143	0.584406	
30000	-63.683102	1	4.315742	4.136871	5.473794	0.396084	23.413746	26.439863	24.865948	61.014363	7.854429	4.777994	18.970923	7.869589	0.198906	0.275186	0.256795	0.269114	0.908926	0.007875	0.071303	0.011896	0.570670	0.090736	0.225602	0.112992	0.168979	0.262578	0.252932	0.315511	0.062811	0.308973	0.209417	0.418799	0.015545	0.188844	0.081053	0.714558	
31000	-61.544618	1	2.017746	0.586621	6.947295	13.724518	35.218632	94.352110	14.891063	26.234603	32.614402	0.430020	24.731353	18.542192	0.149158	0.281926	0.268156	0.300759	0.929386	0.024365	0.040701	0.005548	0.544683	0.162482	0.203635	0.089201	0.138667	0.291029	0.284345	0.285960	0.042823	0.315941	0.269726	0.371510	0.011979	0.328940	0.201912	0.457169	
32000	-66.710566	2	4.467751	1.527985	20.685310	88.060260	93.001764	12.052140	6.406423	45.658793	89.552446	3.405592	15.114882	19.545960	0.244126	0.248564	0.252785	0.254525	0.520367	0.275525	0.122286	0.081822	0.353801	0.275377	0.200128	0.170695	0.229244	0.246111	0.259688	0.264956	0.186754	0.231491	0.279714	0.302042	0.089471	0.172256	0.312894	0.425380	
33000	-65.051186	1	2.014201	11.101343	6.617958	4.991125	50.859490	68.425835	53.767288	53.723800	47.952173	5.294253	2.929158	12.125620	0.245827	0.251779	0.250069	0.252324	0.711564	0.069556	0.181309	0.037571	0.407928	0.184203	0.264815	0.143053	0.166439	0.280332	0.256515	0.296714	0.092015	0.308360	0.231965	0.367660	0.024100	0.297315	0.183050	0.495535	
34000	-60.051474	1	1.231867	2.636134	4.133136	13.743577	54.127751	45.028131	1.837564	92.555891	93.436693	1.233874	3.159793	43.225375	0.120837	0.278662	0.294303	0.306197	0.974600	0.018162	0.005589	0.001649	0.652129	0.174422	0.108913	0.064535	0.135699	0.305099	0.287003	0.272199	0.022835	0.289469	0.327156	0.360540	0.005743	0.253511	0.319190	0.421556	
35000	-66.268646	1	0.129046	4.706174	19.044058	11.233205	6.605906	66.059182	64.542620	22.464663	73.187550	4.957205	9.269691	47.937894	0.236408	0.258985	0.248965	0.255642	0.471006	0.129150	0.245255	0.154588	0.319176	0.205861	0.255760	0.219203	0.222158	0.267343	0.248787	0.261711	0.184406	0.293392	0.243328	0.278874	0.083887	0.329260	0.224056	0.362797	
36000	-69.282604	1	2.784535	8.400869	10.688198	20.922435	56.838528	50.945653	40.454805	52.258310	74.855742	27.965329	30.409616	11.730171	0.243489	0.252604	0.251546	0.252362	0.364868	0.205108	0.221153	0.208871	0.275216	0.239786	0.244170	0.240828	0.218395	0.262465	0.257568	0.261571	0.185604	0.275713	0.264658	0.274026	0.067813	0.296423	0.279638	0.356126	
37000	-62.857156	1	1.538770	4.923546	6.045760	18.638610	2.696272	79.036912	1.900875	64.926170	98.231691	9.974169	14.166307	11.863656	0.193942	0.262792	0.272504	0.270763	0.814499	0.084065	0.046786	0.054649	0.425661	0.217385	0.173290	0.183664	0.139113	0.279582	0.290861	0.290444	0.066426	0.285606	0.326816	0.321152	0.015815	0.271940	0.340117	0.372128	
38000	-61.591525	2	0.746445	4.897979	8.597368	8.424013	58.358385	18.884593	2.170626	29.067163	87.570296	4.213103	4.921778	18.456645	0.218892	0.260498	0.260942	0.259668	0.975109	0.013285	0.005157	0.006450	0.716765	0.117599	0.079386	0.086250	0.208706	0.264607	0.261344	0.265342	0.068397	0.286239	0.319717	0.325648	0.021534	0.205239	0.339176	0.434051	
39000	-65.081077	2	10.734068	1.844601	2.670471	2.219716	72.631659	67.901528	17.806684	2.554549	79.724056	4.169079	6.423814	9.845005	0.284606	0.237937	0.242297	0.235160	0.926879	0.017599	0.044385	0.011138	0.584752	0.127306	0.185621	0.102321	0.172646	0.274690	0.277114	0.275549	0.064283	0.313913	0.281655	0.340149	0.014435	0.301928	0.270795	0.412841	
40000	-64.762682	1	10.009338	3.532076	6.387078	20.533012	17.330967	80.578958	32.644690	23.243031	31.195551	2.854549	5.261918	21.844941	0.248067	0.250671	0.250104	0.251158	0.687676	0.089839	0.179682	0.042803	0.408919	0.193687	0.253963	0.143430	0.188263	0.274695	0.250345	0.286697	0.118127	0.300202	0.232112	0.349558	0.033890	0.322397	0.160494	0.483219	
41000	-61.571482	1	5.831436	1.117795	9.530721	10.381287	18.710084	23.548010	9.563354	31.011103	31.717885	5.616186	4.822013	12.710003	0.227257	0.261940	0.259547	0.251256	0.903522	0.040951	0.036368	0.019159	0.561068	0.161213	0.154929	0.122791	0.190566	0.248139	0.258129	0.303165	0.094185	0.245202	0.267949	0.392664	0.030710	0.141821	0.184198	0.643271	
42000	-64.559801	1	9.665105	1.358047	12.737075	30.559312	20.170277	24.919173	63.303221	28.281446	70.476866	2.694189	8.022509	19.542485	0.246291	0.250321	0.250080	0.253308	0.496704	0.218582	0.215827	0.068887	0.329600	0.251436	0.251241	0.167723	0.203658	0.241957	0.255429	0.298956	0.153316	0.225613	0.249730	0.371341	0.055411	0.140611	0.225065	0.578913	
43000	-68.211739	2	5.667370	5.958029	18.111465	94.100207	73.501931	28.241988	39.482277	45.154087	50.870647	0.482051	27.899272	10.902172	0.247186	0.248960	0.250226	0.253628	0.350017	0.277118	0.232535	0.140330	0.279188	0.260525	0.247343	0.212943	0.234109	0.244127	0.251256	0.270508	0.210533	0.233805	0.251494	0.304169	0.108108	0.167176	0.225908	0.498808	
44000	-61.281029	1	1.927308	1.669035	10.289219	23.374790	2.078062	37.407833	17.372272	38.708183	98.423419	2.943692	3.834324	15.149283	0.207985	0.254376	0.263626	0.274013	0.840958	0.103000	0.045976	0.010067	0.502020	0.237297	0.170445	0.090239	0.175589	0.258974	0.280943	0.284494	0.077768	0.222699	0.306769	0.392764	0.024000	0.148365	0.313583	0.514052	
45000	-62.155361	1	4.814373	1.444975	5.095705	6.645146	29.200959	38.191401	44.914297	25.771806	8.126315	1.715395	7.484299	9.462239	0.191812	0.274903	0.227522	0.305764	0.662329	0.059312	0.263870	0.014489	0.362759	0.203991	0.306029	0.127221	0.127059	0.298148	0.195309	0.379484	0.050700	0.288647	0.113047	0.547606	0.011393	0.197341	0.038137	0.753129	
46000	-69.590327	1	1.968792	16.366599	10.035988	13.493763	6.670236	29.528643	43.480997	39.876499	48.453030	27.962773	17.760827	4.087911	0.241910	0.257178	0.250665	0.250247	0.402474	0.153291	0.228446	0.215790	0.292045	0.217549	0.246602	0.243804	0.224194	0.263173	0.252486	0.260147	0.192223	0.279811	0.253922	0.274044	0.079561	0.227258	0.235934	0.457246	
47000	-65.776848	1	9.869423	3.152384	3.872582	7.557200	78.648727	25.333518	24.874367	37.313591	61.370565	11.273887	18.379944	6.096816	0.229857	0.256921	0.254479	0.258743	0.699015	0.094386	0.125914	0.080686	0.378203	0.203200	0.226261	0.192336	0.154912	0.278408	0.273008	0.293672	0.087546	0.297452	0.279887	0.335115	0.018342	0.236859	0.263302	0.481496	
48000	-63.522612	1	5.935635	4.698185	9.028074	0.562008	5.251947	62.210977	54.361286	58.426581	61.033862	13.031647	6.213614	22.613245	0.237408	0.259129	0.250867	0.252596	0.609941	0.064577	0.192081	0.133400	0.366336	0.166876	0.248747	0.218040	0.189247	0.289075	0.256826	0.264853	0.129762	0.340799	0.251163	0.278277	0.039033	0.368535	0.223097	0.369336	
49000	-71.141124	1	21.527398	12.482676	5.447441	35.457843	31.717892	75.578466	58.571651	49.844743	83.772599	28.951948	7.305610	12.116007	0.250549	0.249824	0.249923	0.249704	0.294704	0.235219	0.243174	0.226903	0.258447	0.247240	0.248824	0.245489	0.239299	0.253416	0.251494	0.255790	0.223053	0.258513	0.253532	0.264902	0.099366	0.280682	0.257362	0.362589	
50000	-66.123763	1	6.996101	1.989111	14.215210	42.839840	10.628828	51.495169	86.783403	45.462328	63.838672	6.535570	18.428732	22.504423	0.244339	0.251013	0.249498	0.255150	0.379706	0.219122	0.252978	0.148194	0.284614	0.243750	0.253833	0.217803	0.220271	0.255035	0.247833	0.276861	0.187514	0.258671	0.242230	0.311586	0.077454	0.238133	0.207855	0.476558	
